question,ground_truth,answer
יש רופא נוירולוג שמדבר אנגלית באזור ירושלים?,"כן, מספר נוירולוגים דוברי אנגלית בירושלים, הנה רשימה קצרה
•	ד""ר בנימין אוליאל - נוירולוגיה
זימון תור*2700
מרפאהגונן ו - ירושלים
כתובת אבא חילקיה 4, ירושלים
•	ד""ר חנה בטינ שטיינר בירמנס - נוירולוגיה
זימון תור*2700
מרפאהבית הכרם - ירושלים
כתובתהארזים 2, ירושלים
•	ד""ר יקטרינה בן ציון - נוירולוגיה
זימון תור*2700, כללית און־ליין
מרפאהפנינת הרכס - ירושלים
כתובתהרב רפאל ברוך טולדנו 21, ירושלים, סמוך לסופר רימון, למגיעים עם WASE, יש לרשום הרב רפאל ברוך טולדנו 34 והמרפאה ממול
•	ד""ר סוהיר כרכבי - נוירולוגיה
זימון תור*2700, כללית און־ליין
מרפאהשייח ג'ראח - מרכז מקצועי - ירושלים
כתובתקלרמון גאנו 5, ירושלים, קומה 1
•	ד""ר סוהיר כרכבי - נוירולוגיה
זימון תור02-5457000, *2700
מרפאהלב תלפיות - ירושלים
כתובתדרך בית לחם 75, ירושלים, קומה כניסה, צומת הבנקים","### Relevant Internal Data:
<internal_answer>
שם הרופא: ד""ר דוד לוי  
מין: זכר  
שפות: עברית, אנגלית, צרפתית  
כתובת: רחוב יפו 123, ירושלים  
טלפון: 02-1234567  
שירותים רפואיים: נוירולוגיה  
שעות קבלה:"
מי הרופא במרפאת הנביאים?,"צוות הרופאים במרפאת הנביאים נתניה כולל את
ד""ר אמיר אבו מוח-רפואת משפחה
ד""ר עבד אל רחים אבו מוך-ילדים
ד""ר דוד לוי-ילדים
ד""ר ניסים לנקרי-רפואת משפחה
ד""ר חאפז עבד אל חי-רפואת משפחה","לא מצאתי מידע על רופא ספציפי במרפאת הנביאים. מצאתי מספר מרפאות בשם ""הנביאים"" במיקומים שונים. האם תוכל לציין איזה מיקום או סוג מרפאה אתה מתכוון? לדוגמה, מרפאת הנביאים בנתניה או חיפה? 

רוצה שאבדוק עבורך מידע נוסף?"
איך יוצרים קשר עם רופא המשפחה שלי בהרצל?,"שלום
אם אתה מחפש רופא במרפאת הרצל רמת גן בכתובת הרצל 34 ניתן ליצור קשר עם המרפאה בטלפון 03-6846420,, כללית אונליין
מקווה שעזרתי","מצאתי מספר רופאי משפחה בהרצליה. הנה כמה אפשרויות:

1. ד""ר מערבי רג'ינה - מרפאת הרצליה דרום, טלפון: 09-9592333
2. ד""ר דיאמנט לידיה - מרפאת ד""ר דיאמנט לידיה, טלפון: 09-9559937
3. ד""ר גפני-סאיה קרן - מרפאת גוטפריד, טלפון: 09-9594555
4. ד""ר מנדה ירון - מרפאת ד""ר מנדה ירון, טלפון: 09-9572418
5. ד""ר מלמוד רבקה - מרפאת הרצליה דרום, טלפון: 09-9592333
6. ד""ר עבד אל חי איהאב - מרפאת גוטפריד, טלפון: 09-9594555
7. ד""ר פלדמן עידו - מרפאת הרצליה דרום, טלפון: 09-9592333

אם תספק לי את שם הרופא שלך, אוכל לספק לך את הפרטים המדויקים. 
אוכל לעזור לך במשהו נוסף?"
איך יוצרים קשר עם רופא המשפחה שלי בהנביאים?,ניתן ליצור קשר דרך טלפון 09-8648800 או כללית און־ליין,"לא מצאתי רופא משפחה במרפאה בהנביאים. עם זאת, מצאתי מספר רופאי משפחה בירושלים. 

לדוגמה, ד""ר שראונה איאד עובד במרפאה בירושלים (רחוב הארון א רשיד 19). ניתן לפנות אליו בטלפון: 02-6277767 או 050-5519836.

רוצה שאבדוק עוד רופאים בירושלים?"
איך יוצרים קשר עם רופא המשפחה שלי ברמות?,"יש מספר רופאי משפחה ברמות, הנה רשימה קצרה שיכול להיות ששהרופא שלך הוא אחד מהם
•        ד""ר נטלי דוידוב - רפואת משפחה
•        ד""ר ימין בנטולילה - רפואת משפחה
•        ד""ר דניאל שמ בן שושן - רפואת משפחה
 לכולם - זימון תור 02-5867111, כללית און־ליין
מרפאה רמות ב' קניון - ירושלים
כתובת שדרות גולדה מאיר 255, ירושלים, קניון רמות, קומה 2 ,על הגשר של הקניון
•        ד""ר אהרון חן - רפואת משפחה
•        ד""ר עדי איזקסון - רפואת משפחה
זימון תור02-5481777, כללית און־ליין
מרפאהרמות א - ירושלים
כתובתלואי ליפסקי 1, ירושלים
מקווה שעזרתי","לא מצאתי רופא משפחה בשם ""רמות"". עם זאת, מצאתי מספר רופאי משפחה במג'ד אל כרום. הנה כמה אפשרויות:

* ד""ר עלואן מוחמד - טלפון: 04-9081404
* ד""ר פרחאת דיאב - טלפון: 04-9981147
* ד""ר סרחאן עבד אל חלים - טלפון: 04-8231040
* ד""ר שעבאן מוחמד - טלפון: 04-8738579
* ד""ר פחמאוי ואיל - טלפון: 04-9583794
* ד""ר זרקאוי איאד - טלפון: 04-9081404
* ד""ר פרחאת נדים - טלפון: 04-8290027
* ד""ר חמוד שאדי - טלפון: 04-9082447

אם אתם מחפשים רופא משפחה ספציפי, אנא ספקו פרטים נוספים. אוכל לעזור במשהו נוסף?"
מי הרופא במרפאת הדרים?,יש רופ,"לא מצאתי מידע על רופא במרפאת ""הדרים"". האם תוכל/י לספק פרטים נוספים על המרפאה, כמו מיקומה? 
אוכל לעזור לך במשהו נוסף?"
יש רופא אלרגיה שמדבר רוסית באזור ירושלים?,"כן, הנה רשימה של אלרגולוגים דוברי רוסית בירושלים
ד""ר יורי זלדין - אלרגולוגיה ואימונולוגיה קלינית
זימון תור*2700

מרפאהמרכז לרפואה יועצת - אלרגיה - אשקלון

כתובתשדרות דוד בן גוריון 23, אשקלון, קומה 2, סמוך לתחנה מרכזית

ד""ר יורי זלדין - אלרגולוגיה ואימונולוגיה קלינית
זימון תור*2700, כללית און־ליין

מרפאהמרכז מומחים כללית בנגב - עור - באר שבע

כתובתרחה פריאר 9, באר שבע, מגדל M טאוור קומה 25","לא מצאתי רופא אלרגיה שדובר רוסית באזור ירושלים במידע הזמין.
אוכל לעזור לך במשהו נוסף?"
מי הרופא במרפאת הרצל?,"הצוות הרפואי במרפאת הרצל רמת גן הוא 
•	ד""ר אירינה אוצ'רטני גריאטריה
•	ד""ר ילנה בלסקי רפואת משפחה
•	ד""ר אלכס לב רפואת משפחה
•	ד""ר צח יצחק מועלם רפואת משפחה
•	ד""ר דניאל מזר גריאטריה
•	ד""ר שמעון עברי רפואת משפחה
•	ד""ר יאנינה פודקמינסקי רפואת משפחה
•	ד""ר אנה קילימניק ילדים","לא מצאתי מידע על רופא במרפאת הרצל. האם תוכל לספק פרטים נוספים על המרפאה, כמו מיקומה? 
אוכל לעזור לך במשהו נוסף?"
יש רופא אף אוזן גרון שמדבר ערבית באזור אילת?,"כן, יש רופאי אף אוזן גרון דוברי ערבית באילת. הנה רשימה קצרה:
•	ד""ר מוחמד קומבר - אף אוזן גרון
זימון תור*2700, כללית און־ליין
מרפאהשגב שלום
כתובתשגב שלום, שגב שלום- שכונה 1

•	ד""ר מג'ד שמס - אף אוזן גרון
זימון תור*2700, 08-6292814, *2700, כללית און־ליין
מרפאהמרכז מומחים כללית בנגב - א.א.ג. - באר שבע
כתובתרחה פריאר 9, באר שבע, קומה 25 M טאוור

•	ד""ר מוחמד קומבר - אף אוזן גרון
זימון תור*2700, 08-6292814
מרפאהמרכז מומחים כללית בנגב - א.א.ג. - באר שבע
כתובתרחה פריאר 9, באר שבע, קומה 25 M טאוור

•	ד""ר מוחמד קומבר - אף אוזן גרון
זימון תור*2700, כללית און־ליין
מרפאהכסיפה א'
כתובתכסיפה, שכונה 24 בכניסה לכפר

•	ד""ר מוחמד קומבר - אף אוזן גרון
זימון תור*2700, כללית און־ליין
מרפאהמרכז בריאות חורה
כתובתאבן תאימייה, חורה, צמוד למשטרה ולדואר

[","לא מצאתי רופא אף אוזן גרון באזור אילת שדובר ערבית בנתונים הזמינים. 
אוכל לעזור לך במשהו נוסף?"
האם יש נשים שמקבל בכפר סבא בשעות הערב?,"כן, יש מספר רופאי נשים בכפר סבא המקבלים בשעות הערב (לאחר השעה 16:00) הנה רשימה קצרה.
ד""ר חנוך שרייבר - נשים
זימון תור*2700
מרפאהמרכז בריאות האישה - כפר סבא
כתובתוייצמן 83, כפר סבא, מרכז אהרוני , ליד קניון ערים
•	ג11:30 - 19:00
•	ד16:00 - 18:30
ד""ר אלכסנדר חייקין - נשים
זימון תור*2700, כללית און־ליין
מרפאהמרכז בריאות האישה - כפר סבא
כתובתוייצמן 83, כפר סבא, מרכז אהרוני , ליד קניון ערים

-	א14:30 - 19:00
ד""ר יריב גדעוני - נשים
זימון תור*2700, כללית און־ליין
מרפאהכללית בירוקה - כפר סבא
כתובתרפפורט 3, כפר סבא, קומה 2, קניון כפר סבא הירוקה, במעליות השקופות קומה 2 מצד שמאל
•	שעות קבלה
o	ד16:00 - 19:00
ד""ר סיון פרלדנסקי גרשנבל - נשים
זימון תור*2700, כללית און־ליין
מרפאהמרכז בריאות האישה - כפר סבא
כתובתוייצמן 83, כפר סבא, מרכז אהרוני , ליד קניון ערים
•	ה16:00 - 19:00
ד""ר נתלי זילברמן שרון - נשים
זימון תור*2700, כללית און־ליין
מרפאהמרכז בריאות האישה - כפר סבא
כתובתוייצמן 83, כפר סבא, מרכז אהרוני , ליד קניון ערים
•	שעות קבלה
o	ד14:30 - 17:30",לא מצאתי מידע רלוונטי לגבי רופאים בכפר סבא שמקבלים בשעות הערב. אוכל לבדוק עבורך רופאים בכפר סבא שמקבלים בשעות אחרות. האם תרצה שאבדוק?
מי מתמחה בכאבי גב באיזור כפר סבא?,"אין רופא המתמחה בכאבי גב באיזור כפר סבא.
אוכל להפנות למומחה מהאיזור
ד""ר רפאל לוטן - אורתופדיה - גב
זימון תור*2700, כללית און־ליין
מרפאהנאות שקמה - מרכז מקצועי - ראשל''צ
כתובתהשירה העברית 8, ראשון לציון, ניתן למצוא חניה בקניון הקארדו הצמוד למרפאה.
יש רופאים נוספים במרחק גדול יותר.","מצאתי מספר רופאים המתמחים בכאבי גב (אורתופדיה) באזור כפר סבא. הנה שניים מהם:

1. ד""ר קוטוב קונסטנטין - במרפאת כללית בירוקה בכפר סבא, רחוב רפפורט 3. הוא זמין היום (רביעי) בין 08:00-12:00 ובין 16:00-20:00. טלפון: 09-7946500.

2. ד""ר נוביצקי אלכסנדר - במרפאת בן גוריון - רפואה יועצת בכפר סבא, רחוב בן גוריון 43. הוא זמין היום בין 07:30-13:00 ובין 15:00-18:00. טלפון: 09-7940400.

האם תוכל לצמצם את החיפוש? אוכל לעזור לך במשהו נוסף?"
איפה יש רופא אנדוקרינולוגיה באזור מודיעין?,"אין אנדוקרינולוגים באיזור מודיעין.
הנה רשימה קצרה של אנדוקרינולוגים בערים אחרות שאולי יוכלו להיות רלוונטיות:
•	ד""ר חגית אדלר כהן - אנדוקרינולוגיה
זימון תור*2700, כללית און־ליין
מרפאהשוהם הדרים - שוהם
כתובתהאתרוג 22, שוהם
•	ד""ר ליאור טולקין - אנדוקרינולוגיה
זימון תור*2700, כללית און־ליין
מרפאהלב רמלה - מרכז מקצועי
כתובתשדרות הרצל 88, רמלה, פינת ביאליק, ""מרכז גבסו""
•	ד""ר גדעון הראל - אנדוקרינולוגיה
זימון תור*2700, כללית און־ליין
מרפאהלב רמלה - מרכז מקצועי
כתובתשדרות הרצל 88, רמלה, פינת ביאליק, ""מרכז גבסו""
•	ד""ר נינה נמירובסקי - אנדוקרינולוגיה
זימון תור*2700
מרפאהפלמ''ח - רחובות
כתובתפלמ""ח 17, רחובות
•	ד""ר דוד לואיס פישר - אנדוקרינולוגיה
זימון תור02-9902666
מרפאהרמת בית שמש
כתובתשדרות נחל צאלים 6, בית שמש, רמת בית שמש א'","ד""ר מתתיהו וסרמן הוא אנדוקרינולוג ילדים במודיעין, זמין היום (רביעי) בין 08:00 ל־13:00. 
כתובת: רחוב עמק דותן 70, מודיעין מכבים רעות. 
טלפון: 08-9735555 או 050-2602700.
אוכל לעזור לך במשהו נוסף?"
האם יש נוירולוג שמקבל בבאר שבע בשעות הערב?,"כן, הנה רשימה קצרה של נוירולוגים בבאר שבע המקבלים בשעות הערב (לאחר 16:00)
ד""ר אבראהים אבו סלאמה - נוירולוגיה
זימון תור*2700, כללית און־ליין
מרפאהמרכז מומחים כללית בנגב - נוירולוגיה - באר שבע
כתובתרחה פריאר 9, באר שבע, קומה 1, M טאוור קומה 24
שעות קבלה:
•	ג16:15 - 19:00
•	ה16:15 - 19:00
ד""ר זאב לוזון - נוירולוגיה
מרפאהד""ר לוזון זאב - באר שבע
כתובתהרצל 91, באר שבע, בית עציון

•	ב14:00 - 19:00
•	ד09:00 - 16:30

ד""ר מוהנד עאסלה - נוירולוגיה
זימון תור*2700
מרפאהמרכז מומחים כללית בנגב - נוירולוגיה - באר שבע
כתובתרחה פריאר 9, באר שבע, קומה 1, M טאוור קומה 24
•	שעות קבלה
o	א16:00 - 20:00
o	ג16:00 - 20:00
ד""ר יאנה מצ'ניק סטין - נוירולוגיה
זימון תור08-6292792, *2700
מרפאהמרכז מומחים כללית בנגב- E.M.G - באר שבע
כתובתרחה פריאר 9, באר שבע, M טאוור קומה 24
•	א16:00 - 20:00","לא מצאתי מידע רלוונטי לגבי רופאים נוירולוגים בבאר שבע בשעות הערב. 
אוכל לבדוק עבורך רופאים נוספים או לעזור בשאלה אחרת?"
